ENSP00000000412	ENSG00000003056	M6PR	ENSDARP00000018076	ENSDARG00000018432	m6pr
ENSP00000013807	ENSG00000012061	ERCC1	ENSDARP00000041750	ENSDARG00000031680	ercc1
ENSP00000019317	ENSG00000017797	RALBP1	ENSDARP00000099701	ENSDARG00000078653	ralbp1
ENSP00000020926	ENSG00000019505	SYT13	ENSDARP00000013748	ENSDARG00000012306	syt13
ENSP00000020945	ENSG00000019549	SNAI2	ENSDARP00000058570	ENSDARG00000040046	snai2
ENSP00000023939	ENSG00000022277	RTF2	ENSDARP00000059437	ENSDARG00000040607	rtf2
ENSP00000025008	ENSG00000023287	RB1CC1	ENSDARP00000097746	ENSDARG00000076559	rb1cc1
ENSP00000025301	ENSG00000023516	AKAP11	ENSDARP00000124874	ENSDARG00000075435	akap11
ENSP00000025399	ENSG00000023734	STRAP	ENSDARP00000109783	ENSDARG00000007405	strap
ENSP00000026218	ENSG00000007541	PIGQ	ENSDARP00000114962	ENSDARG00000038097	pigq
ENSP00000027335	ENSG00000079112	CDH17	ENSDARP00000042894	ENSDARG00000005112	cdh17
ENSP00000029410	ENSG00000027847	B4GALT7	ENSDARP00000131716	ENSDARG00000021899	b4galt7
ENSP00000033079	ENSG00000031003	FAM13B	ENSDARP00000105416	ENSDARG00000076779	fam13b
ENSP00000037243	ENSG00000034713	GABARAPL2	ENSDARP00000039056	ENSDARG00000027200	gabarapl2
ENSP00000037502	ENSG00000034971	MYOC	ENSDARP00000028581	ENSDARG00000021789	myoc
ENSP00000039007	ENSG00000036473	OTC	ENSDARP00000083959	ENSDARG00000062147	otc
ENSP00000039989	ENSG00000052841	TTC17	ENSDARP00000065863	ENSDARG00000044812	ttc17
ENSP00000040584	ENSG00000037965	HOXC8	ENSDARP00000093913	ENSDARG00000070346	hoxc8a
ENSP00000040663	ENSG00000037757	MRI1	ENSDARP00000098757	ENSDARG00000075754	mri1
ENSP00000040738	ENSG00000038219	BOD1L1	ENSDARP00000137014	ENSDARG00000089505	bod1l1
ENSP00000040877	ENSG00000059588	TARBP1	ENSDARP00000099781	ENSDARG00000079055	si:dkey-85a20.4
ENSP00000044462	ENSG00000041357	PSMA4	ENSDARP00000067511	ENSDARG00000045928	psma4
ENSP00000046794	ENSG00000043462	LCP2	ENSDARP00000059419	ENSDARG00000055955	lcp2a
ENSP00000052754	ENSG00000011465	DCN	ENSDARP00000025940	ENSDARG00000012066	dcn
ENSP00000053468	ENSG00000048544	MRPS10	ENSDARP00000067487	ENSDARG00000045913	mrps10
ENSP00000053867	ENSG00000030582	GRN	ENSDARP00000096463	ENSDARG00000025081	grnb
ENSP00000054950	ENSG00000049449	RCN1	ENSDARP00000093139	ENSDARG00000070006	rcn1
ENSP00000055077	ENSG00000049541	RFC2	ENSDARP00000104753	ENSDARG00000014274	rfc2
ENSP00000055682	ENSG00000050030	NEXMIF	ENSDARP00000136265	ENSDARG00000029296	nexmifb
ENSP00000064571	ENSG00000054803	CBLN4	ENSDARP00000081582	ENSDARG00000061240	cbln4
ENSP00000064724	ENSG00000013297	CLDN11	ENSDARP00000027131	ENSDARG00000020031	cldn11a
ENSP00000064778	ENSG00000054965	FAM168A	ENSDARP00000140889	ENSDARG00000098832	fam168a
ENSP00000064780	ENSG00000054967	RELT	ENSDARP00000132358	ENSDARG00000099724	relt
ENSP00000070846	ENSG00000057294	PKP2	ENSDARP00000035112	ENSDARG00000023026	pkp2
ENSP00000075503	ENSG00000060140	STYK1	ENSDARP00000112925	ENSDARG00000041947	styk1b
ENSP00000078445	ENSG00000060566	CREB3L3	ENSDARP00000113661	ENSDARG00000056226	creb3l3a
ENSP00000081029	ENSG00000061794	MRPS35	ENSDARP00000056120	ENSDARG00000038456	mrps35
ENSP00000083182	ENSG00000062725	APPBP2	ENSDARP00000027941	ENSDARG00000007566	appbp2
ENSP00000084795	ENSG00000063177	RPL18	ENSDARP00000043172	ENSDARG00000029533	rpl18
ENSP00000085068	ENSG00000063241	ISOC2	ENSDARP00000022030	ENSDARG00000013371	isoc2
ENSP00000085219	ENSG00000012124	CD22	ENSDARP00000057094	ENSDARG00000039096	si:dkey-24p1.1
ENSP00000155926	ENSG00000071575	TRIB2	ENSDARP00000036401	ENSDARG00000016200	trib3
ENSP00000156109	ENSG00000068394	GPKOW	ENSDARP00000047911	ENSDARG00000029612	gpkow
ENSP00000156471	ENSG00000021776	AQR	ENSDARP00000110866	ENSDARG00000016775	aqr
ENSP00000156626	ENSG00000070526	ST6GALNAC1	ENSDARP00000115490	ENSDARG00000043814	st6galnac1.1
ENSP00000157600	ENSG00000071282	LMCD1	ENSDARP00000128272	ENSDARG00000002002	lmcd1
ENSP00000158771	ENSG00000072849	DERL2	ENSDARP00000062174	ENSDARG00000042401	derl2
ENSP00000160373	ENSG00000077063	CTTNBP2	ENSDARP00000091516	ENSDARG00000040991	cttnbp2
ENSP00000160827	ENSG00000079616	KIF22	ENSDARP00000137572	ENSDARG00000102624	kif22
ENSP00000161863	ENSG00000047188	YTHDC2	ENSDARP00000132196	ENSDARG00000103525	YTHDC2
ENSP00000162044	ENSG00000064545	TMEM161A	ENSDARP00000007148	ENSDARG00000012790	tmem161a
ENSP00000162749	ENSG00000067182	TNFRSF1A	ENSDARP00000011163	ENSDARG00000018569	tnfrsf1a
ENSP00000163416	ENSG00000066455	GOLGA5	ENSDARP00000057385	ENSDARG00000039279	golga5
ENSP00000164227	ENSG00000069399	BCL3	ENSDARP00000112109	ENSDARG00000087832	bcl3
ENSP00000166139	ENSG00000070404	FSTL3	ENSDARP00000155619	ENSDARG00000025670	fstl3
ENSP00000166345	ENSG00000071539	TRIP13	ENSDARP00000049098	ENSDARG00000025043	trip13
ENSP00000167106	ENSG00000071246	VASH1	ENSDARP00000114200	ENSDARG00000092716	VASH1
ENSP00000168216	ENSG00000072506	HSD17B10	ENSDARP00000017597	ENSDARG00000017781	hsd17b10
ENSP00000168712	ENSG00000075388	FGF4	ENSDARP00000135882	ENSDARG00000105230	fgf4
ENSP00000169298	ENSG00000073849	ST6GAL1	ENSDARP00000106374	ENSDARG00000044514	st6gal1
ENSP00000169551	ENSG00000075336	TIMM21	ENSDARP00000096733	ENSDARG00000071594	TIMM21
ENSP00000170168	ENSG00000079313	REXO1	ENSDARP00000074070	ENSDARG00000026986	rexo1
ENSP00000170564	ENSG00000076650	GPATCH1	ENSDARP00000014631	ENSDARG00000033418	gpatch1
ENSP00000172229	ENSG00000064300	NGFR	ENSDARP00000126756	ENSDARG00000089223	ngfrb
ENSP00000173527	ENSG00000066583	ISOC1	ENSDARP00000078713	ENSDARG00000060069	isoc1
ENSP00000174618	ENSG00000070444	MNT	ENSDARP00000129921	ENSDARG00000101859	mnta
ENSP00000175091	ENSG00000068697	LAPTM4A	ENSDARP00000006123	ENSDARG00000006397	laptm4a
ENSP00000175756	ENSG00000072135	PTPN18	ENSDARP00000120732	ENSDARG00000006308	ptpn18
ENSP00000177742	ENSG00000074071	MRPS34	ENSDARP00000075118	ENSDARG00000057910	mrps34
ENSP00000178640	ENSG00000137764	MAP2K5	ENSDARP00000052403	ENSDARG00000011851	map2k5
ENSP00000179259	ENSG00000078237	TIGAR	ENSDARP00000097862	ENSDARG00000051749	tigara
ENSP00000180166	ENSG00000078579	FGF20	ENSDARP00000106996	ENSDARG00000086070	fgf20b
ENSP00000181383	ENSG00000080618	CPB2	ENSDARP00000054058	ENSDARG00000037144	cpb2
ENSP00000182527	ENSG00000065308	TRAM2	ENSDARP00000043937	ENSDARG00000030092	tram2
ENSP00000184956	ENSG00000068097	HEATR6	ENSDARP00000097730	ENSDARG00000073686	heatr6
ENSP00000185150	ENSG00000068912	ERLEC1	ENSDARP00000138642	ENSDARG00000086309	erlec1
ENSP00000185206	ENSG00000112782	CLIC5	ENSDARP00000029090	ENSDARG00000070584	clic5b
ENSP00000187762	ENSG00000072954	TMEM38A	ENSDARP00000037150	ENSDARG00000024047	tmem38a
ENSP00000188312	ENSG00000075089	ACTR6	ENSDARP00000005947	ENSDARG00000021370	actr6
ENSP00000192314	ENSG00000154252	GAL3ST2	ENSDARP00000129456	ENSDARG00000079502	gal3st2
ENSP00000193322	ENSG00000081087	OSTM1	ENSDARP00000150259	ENSDARG00000069808	ostm1
ENSP00000193391	ENSG00000081148	IMPG2	ENSDARP00000133130	ENSDARG00000100105	impg2b
ENSP00000194530	ENSG00000082146	STRADB	ENSDARP00000150022	ENSDARG00000088225	STRADB
ENSP00000197268	ENSG00000084444	FAM234B	ENSDARP00000084079	ENSDARG00000006758	fam234b
ENSP00000198801	ENSG00000166391	MOGAT2	ENSDARP00000104851	ENSDARG00000019228	mogat2
ENSP00000198939	ENSG00000085872	CHERP	ENSDARP00000151486	ENSDARG00000021812	cherp
ENSP00000199389	ENSG00000086232	EIF2AK1	ENSDARP00000156372	ENSDARG00000112267	eif2ak1
ENSP00000199448	ENSG00000086289	EPDR1	ENSDARP00000066787	ENSDARG00000045420	epdr1
ENSP00000199764	ENSG00000086548	CEACAM6	ENSDARP00000126614	ENSDARG00000096543	si:ch211-1f22.7
ENSP00000199814	ENSG00000086589	RBM22	ENSDARP00000004055	ENSDARG00000010238	rbm22
ENSP00000199936	ENSG00000086696	HSD17B2	ENSDARP00000066984	ENSDARG00000045553	hsd17b2
ENSP00000200135	ENSG00000086827	ZW10	ENSDARP00000020574	ENSDARG00000018738	zw10
ENSP00000200181	ENSG00000132470	ITGB4	ENSDARP00000031533	ENSDARG00000028507	itgb4
ENSP00000200676	ENSG00000087237	CETP	ENSDARP00000046890	ENSDARG00000030872	cetp
ENSP00000201031	ENSG00000087510	TFAP2C	ENSDARP00000123798	ENSDARG00000040606	tfap2c
ENSP00000201586	ENSG00000088002	SULT2B1	ENSDARP00000036121	ENSDARG00000028367	sult2st3
ENSP00000202017	ENSG00000088356	PDRG1	ENSDARP00000119567	ENSDARG00000045017	pdrg1
ENSP00000202773	ENSG00000089009	RPL6	ENSDARP00000107457	ENSDARG00000058451	rpl6
ENSP00000202816	ENSG00000089048	ESF1	ENSDARP00000113328	ENSDARG00000008740	esf1
ENSP00000202967	ENSG00000089163	SIRT4	ENSDARP00000027611	ENSDARG00000010415	sirt4
ENSP00000203001	ENSG00000089195	TRMT6	ENSDARP00000062091	ENSDARG00000042344	trmt6
ENSP00000203556	ENSG00000089639	GMIP	ENSDARP00000131373	ENSDARG00000077249	gmip
ENSP00000204517	ENSG00000090447	TFAP4	ENSDARP00000139230	ENSDARG00000103923	tfap4
ENSP00000204549	ENSG00000090470	PDCD7	ENSDARP00000056892	ENSDARG00000038976	pdcd7
ENSP00000204566	ENSG00000090487	SPG21	ENSDARP00000109573	ENSDARG00000007760	spg21
ENSP00000204604	ENSG00000090539	CHRD	ENSDARP00000045109	ENSDARG00000006110	chrd
ENSP00000204961	ENSG00000090776	EFNB1	ENSDARP00000024428	ENSDARG00000007723	efnb1
ENSP00000205214	ENSG00000157426	AASDH	ENSDARP00000118390	ENSDARG00000022730	aasdh
ENSP00000205948	ENSG00000091583	APOH	ENSDARP00000060003	ENSDARG00000040944	ntd5
ENSP00000206020	ENSG00000091640	SPAG7	ENSDARP00000133222	ENSDARG00000011555	spag7
ENSP00000206380	ENSG00000091947	TMEM101	ENSDARP00000144927	ENSDARG00000114508	tmem101
ENSP00000206474	ENSG00000092036	HAUS4	ENSDARP00000004325	ENSDARG00000016594	haus4
ENSP00000206542	ENSG00000092094	OSGEP	ENSDARP00000118646	ENSDARG00000045846	osgep
ENSP00000207457	ENSG00000092850	TEKT2	ENSDARP00000059357	ENSDARG00000028973	tekt2
ENSP00000209873	ENSG00000094914	AAAS	ENSDARP00000130151	ENSDARG00000102274	aaas
ENSP00000209875	ENSG00000094916	CBX5	ENSDARP00000120917	ENSDARG00000061187	cbx5
ENSP00000210187	ENSG00000167964	RAB26	ENSDARP00000139314	ENSDARG00000104259	RAB26
ENSP00000210313	ENSG00000095261	PSMD5	ENSDARP00000122309	ENSDARG00000059046	psmd5
ENSP00000210444	ENSG00000095380	NANS	ENSDARP00000067085	ENSDARG00000045620	nansa
ENSP00000211287	ENSG00000156711	MAPK13	ENSDARP00000075784	ENSDARG00000058470	mapk13
ENSP00000212015	ENSG00000096717	SIRT1	ENSDARP00000088981	ENSDARG00000068064	sirt1
ENSP00000214869	ENSG00000099203	TMED1	ENSDARP00000089080	ENSDARG00000017255	tmed1b
ENSP00000215071	ENSG00000099341	PSMD8	ENSDARP00000025160	ENSDARG00000020454	psmd8
ENSP00000215095	ENSG00000099365	STX1B	ENSDARP00000076389	ENSDARG00000000503	stx1b
ENSP00000215368	ENSG00000099617	EFNA2	ENSDARP00000040277	ENSDARG00000031372	efna2a
ENSP00000215531	ENSG00000095932	SMIM24	ENSDARP00000115299	ENSDARG00000095633	si:ch211-133l5.7
ENSP00000215555	ENSG00000099785	MARCHF2	ENSDARP00000082852	ENSDARG00000061738	march2
ENSP00000215565	ENSG00000099795	NDUFB7	ENSDARP00000043932	ENSDARG00000033789	ndufb7
ENSP00000215570	ENSG00000099800	TIMM13	ENSDARP00000075599	ENSDARG00000058297	timm13
ENSP00000215574	ENSG00000099804	CDC34	ENSDARP00000148743	ENSDARG00000069708	cdc34a
ENSP00000215582	ENSG00000099812	MISP	ENSDARP00000129934	ENSDARG00000104047	si:ch211-262i1.3
ENSP00000215727	ENSG00000099937	SERPIND1	ENSDARP00000017995	ENSDARG00000021208	serpind1
ENSP00000215730	ENSG00000099940	SNAP29	ENSDARP00000122078	ENSDARG00000038518	snap29
ENSP00000215742	ENSG00000184436	THAP7	ENSDARP00000113351	ENSDARG00000070704	thap7
ENSP00000215793	ENSG00000099995	SF3A1	ENSDARP00000108576	ENSDARG00000041887	sf3a1
ENSP00000215794	ENSG00000184979	USP18	ENSDARP00000104564	ENSDARG00000088078	usp18
ENSP00000215838	ENSG00000185339	TCN2	ENSDARP00000053000	ENSDARG00000036481	tcn2
ENSP00000215855	ENSG00000100053	CRYBB3	ENSDARP00000060534	ENSDARG00000041301	crybb3
ENSP00000215882	ENSG00000100075	SLC25A1	ENSDARP00000104198	ENSDARG00000076381	slc25a1b
ENSP00000215885	ENSG00000100078	PLA2G3	ENSDARP00000023708	ENSDARG00000008948	pla2g3
ENSP00000215904	ENSG00000241360	PDXP	ENSDARP00000151067	ENSDARG00000109823	pdxp
ENSP00000215906	ENSG00000128203	ASPHD2	ENSDARP00000077501	ENSDARG00000059629	asphd2
ENSP00000215909	ENSG00000100097	LGALS1	ENSDARP00000124248	ENSDARG00000038153	lgals2b
ENSP00000215912	ENSG00000100100	PIK3IP1	ENSDARP00000115818	ENSDARG00000003281	pik3ip1
ENSP00000215917	ENSG00000100104	SRRD	ENSDARP00000115164	ENSDARG00000059028	srrd
ENSP00000215941	ENSG00000100124	ANKRD54	ENSDARP00000072599	ENSDARG00000055743	ankrd54
ENSP00000215980	ENSG00000100162	CENPM	ENSDARP00000038262	ENSDARG00000024681	pane1
ENSP00000216027	ENSG00000100209	HSCB	ENSDARP00000098896	ENSDARG00000075416	si:ch211-207k7.4
ENSP00000216036	ENSG00000100218	RSPH14	ENSDARP00000023459	ENSDARG00000017983	rsph14
ENSP00000216038	ENSG00000100220	RTCB	ENSDARP00000140069	ENSDARG00000101047	rtcb
ENSP00000216075	ENSG00000100253	MIOX	ENSDARP00000115890	ENSDARG00000002764	miox
ENSP00000216085	ENSG00000100263	RHBDD3	ENSDARP00000098546	ENSDARG00000079816	rhbdd3
ENSP00000216106	ENSG00000100281	HMGXB4	ENSDARP00000112627	ENSDARG00000075783	hmgxb4a
ENSP00000216121	ENSG00000184117	NIPSNAP1	ENSDARP00000026717	ENSDARG00000005320	nipsnap1
ENSP00000216122	ENSG00000100297	MCM5	ENSDARP00000018877	ENSDARG00000019507	mcm5
ENSP00000216124	ENSG00000100299	ARSA	ENSDARP00000121810	ENSDARG00000042270	arsa
ENSP00000216129	ENSG00000100304	TTLL12	ENSDARP00000150878	ENSDARG00000103537	ttll12
ENSP00000216133	ENSG00000100307	CBX7	ENSDARP00000108294	ENSDARG00000087181	cbx7b
ENSP00000216144	ENSG00000100314	CABP7	ENSDARP00000102690	ENSDARG00000078272	CABP7
ENSP00000216160	ENSG00000100324	TAB1	ENSDARP00000053182	ENSDARG00000036613	tab1
ENSP00000216185	ENSG00000100348	TXN2	ENSDARP00000046994	ENSDARG00000034777	txn2
ENSP00000216190	ENSG00000100353	EIF3D	ENSDARP00000011011	ENSDARG00000021257	eif3d
ENSP00000216211	ENSG00000100373	UPK3A	ENSDARP00000113175	ENSDARG00000092872	upk3b
ENSP00000216218	ENSG00000100380	ST13	ENSDARP00000112549	ENSDARG00000021973	st13
ENSP00000216223	ENSG00000100385	IL2RB	ENSDARP00000128491	ENSDARG00000075720	il2rb
ENSP00000216225	ENSG00000100387	RBX1	ENSDARP00000055431	ENSDARG00000038030	rbx1
ENSP00000216241	ENSG00000100399	CHADL	ENSDARP00000127208	ENSDARG00000075903	chadlb
ENSP00000216264	ENSG00000100422	CERK	ENSDARP00000117613	ENSDARG00000069169	cerk
ENSP00000216271	ENSG00000100429	HDAC10	ENSDARP00000109870	ENSDARG00000086458	hdac10
ENSP00000216294	ENSG00000023608	SNAPC1	ENSDARP00000023186	ENSDARG00000003827	snapc1b
ENSP00000216297	ENSG00000092201	SUPT16H	ENSDARP00000142119	ENSDARG00000079949	supt16h
ENSP00000216330	ENSG00000100442	FKBP3	ENSDARP00000132658	ENSDARG00000098059	fkbp3
ENSP00000216336	ENSG00000100448	CTSG	ENSDARP00000114468	ENSDARG00000076814	gzm3.4
ENSP00000216338	ENSG00000100450	GZMH	ENSDARP00000072861	ENSDARG00000078451	gzm3
ENSP00000216361	ENSG00000100473	COCH	ENSDARP00000001291	ENSDARG00000024032	coch
ENSP00000216367	ENSG00000100479	POLE2	ENSDARP00000135599	ENSDARG00000100028	pole2
ENSP00000216410	ENSG00000100522	GNPNAT1	ENSDARP00000112961	ENSDARG00000039892	gnpnat1
ENSP00000216446	ENSG00000100558	PLEK2	ENSDARP00000010322	ENSDARG00000012789	plek2
ENSP00000216452	ENSG00000100564	PIGH	ENSDARP00000156918	ENSDARG00000038348	pigh
ENSP00000216455	ENSG00000100567	PSMA3	ENSDARP00000108560	ENSDARG00000086618	psma3
ENSP00000216468	ENSG00000100580	TMED8	ENSDARP00000151645	ENSDARG00000052390	tmed8
ENSP00000216479	ENSG00000100591	AHSA1	ENSDARP00000131241	ENSDARG00000100317	ahsa1b
ENSP00000216487	ENSG00000100599	RIN3	ENSDARP00000127920	ENSDARG00000077618	rin3
ENSP00000216489	ENSG00000100601	ALKBH1	ENSDARP00000095783	ENSDARG00000071164	alkbh1
ENSP00000216513	ENSG00000100625	SIX4	ENSDARP00000126511	ENSDARG00000004695	six4a
ENSP00000216540	ENSG00000100652	SLC10A1	ENSDARP00000145063	ENSDARG00000030588	slc10a1
ENSP00000216554	ENSG00000100664	EIF5	ENSDARP00000154045	ENSDARG00000003681	eif5
ENSP00000216602	ENSG00000100711	ZFYVE21	ENSDARP00000069214	ENSDARG00000027887	zfyve21
ENSP00000216727	ENSG00000100836	PABPN1	ENSDARP00000066721	ENSDARG00000045373	pabpn1
ENSP00000216733	ENSG00000100842	EFS	ENSDARP00000134894	ENSDARG00000088835	efs
ENSP00000216797	ENSG00000100906	NFKBIA	ENSDARP00000109941	ENSDARG00000005481	nfkbiaa
ENSP00000216832	ENSG00000100941	PNN	ENSDARP00000011002	ENSDARG00000015851	pnn
ENSP00000216862	ENSG00000019186	CYP24A1	ENSDARP00000130345	ENSDARG00000103277	cyp24a1
ENSP00000216923	ENSG00000020256	ZFP64	ENSDARP00000081313	ENSDARG00000061147	zfp64
ENSP00000217026	ENSG00000101057	MYBL2	ENSDARP00000109123	ENSDARG00000032264	mybl2b
ENSP00000217109	ENSG00000101138	CSTF1	ENSDARP00000109556	ENSDARG00000044820	cstf1
ENSP00000217121	ENSG00000101150	TPD52L2	ENSDARP00000148142	ENSDARG00000013655	tpd52l2b
ENSP00000217159	ENSG00000101187	SLCO4A1	ENSDARP00000099049	ENSDARG00000075948	slco4a1
ENSP00000217173	ENSG00000185019	UBOX5	ENSDARP00000075886	ENSDARG00000058563	ubox5
ENSP00000217188	ENSG00000125508	SRMS	ENSDARP00000129737	ENSDARG00000077783	SRMS
ENSP00000217195	ENSG00000101220	C20orf27	ENSDARP00000100238	ENSDARG00000076239	C7H20orf27
ENSP00000217305	ENSG00000101327	PDYN	ENSDARP00000119382	ENSDARG00000087798	pdyn
ENSP00000217402	ENSG00000101421	CHMP4B	ENSDARP00000023938	ENSDARG00000007323	chmp4bb
ENSP00000217407	ENSG00000129988	LBP	ENSDARP00000139184	ENSDARG00000099980	bpifcl
ENSP00000217420	ENSG00000101438	SLC32A1	ENSDARP00000077888	ENSDARG00000059775	slc32a1
ENSP00000217426	ENSG00000101444	AHCY	ENSDARP00000002844	ENSDARG00000005191	ahcy
ENSP00000217446	ENSG00000101464	PIGU	ENSDARP00000100232	ENSDARG00000075530	pigu
ENSP00000217455	ENSG00000101473	ACOT8	ENSDARP00000009993	ENSDARG00000014138	acot8
ENSP00000217456	ENSG00000101474	APMAP	ENSDARP00000004202	ENSDARG00000017422	apmap
ENSP00000217515	ENSG00000091164	TXNL1	ENSDARP00000023934	ENSDARG00000011921	txnl1
ENSP00000217901	ENSG00000067829	IDH3G	ENSDARP00000094764	ENSDARG00000023648	idh3g
ENSP00000217909	ENSG00000077713	SLC25A43	ENSDARP00000131401	ENSDARG00000102048	slc25a43
ENSP00000217971	ENSG00000101856	PGRMC1	ENSDARP00000070803	ENSDARG00000054172	pgrmc1
ENSP00000218004	ENSG00000101888	NXT2	ENSDARP00000114020	ENSDARG00000061527	nxt2
ENSP00000218008	ENSG00000101892	ATP1B4	ENSDARP00000069762	ENSDARG00000053262	atp1b4
ENSP00000218340	ENSG00000102218	RP2	ENSDARP00000120363	ENSDARG00000044339	rp2
ENSP00000218364	ENSG00000102241	HTATSF1	ENSDARP00000073630	ENSDARG00000056649	htatsf1
ENSP00000218436	ENSG00000102313	ITIH6	ENSDARP00000114971	ENSDARG00000056037	itih6
ENSP00000218652	ENSG00000102471	NDFIP2	ENSDARP00000094499	ENSDARG00000033928	ndfip2
ENSP00000218867	ENSG00000102683	SGCG	ENSDARP00000119501	ENSDARG00000038107	sgcg
ENSP00000219022	ENSG00000102837	OLFM4	ENSDARP00000061496	ENSDARG00000041960	si:ch211-173a9.6
ENSP00000219066	ENSG00000065057	NTHL1	ENSDARP00000062940	ENSDARG00000042881	nthl1
ENSP00000219097	ENSG00000091651	ORC6	ENSDARP00000101426	ENSDARG00000075682	orc6
ENSP00000219197	ENSG00000102924	CBLN1	ENSDARP00000116647	ENSDARG00000057296	cbln1
ENSP00000219240	ENSG00000102967	DHODH	ENSDARP00000068087	ENSDARG00000051889	dhodh
ENSP00000219252	ENSG00000102978	POLR2C	ENSDARP00000043811	ENSDARG00000033596	polr2c
ENSP00000219255	ENSG00000102981	PARD6A	ENSDARP00000149037	ENSDARG00000115700	pard6a
ENSP00000219281	ENSG00000103005	USB1	ENSDARP00000002264	ENSDARG00000003841	usb1
ENSP00000219299	ENSG00000103021	CCDC113	ENSDARP00000003379	ENSDARG00000006981	ccdc113
ENSP00000219302	ENSG00000103024	NME3	ENSDARP00000139313	ENSDARG00000100990	nme3
ENSP00000219313	ENSG00000103035	PSMD7	ENSDARP00000149302	ENSDARG00000102417	psmd7
ENSP00000219315	ENSG00000103037	SETD6	ENSDARP00000144715	ENSDARG00000113991	setd6
ENSP00000219334	ENSG00000103056	SMPD3	ENSDARP00000133737	ENSDARG00000098226	smpd3
ENSP00000219345	ENSG00000103066	PLA2G15	ENSDARP00000131824	ENSDARG00000103271	pla2g15
ENSP00000219368	ENSG00000103089	FA2H	ENSDARP00000107067	ENSDARG00000090063	fa2h
ENSP00000219406	ENSG00000185615	PDIA2	ENSDARP00000012585	ENSDARG00000018263	pdia2
ENSP00000219431	ENSG00000103152	MPG	ENSDARP00000119099	ENSDARG00000069729	mpg
ENSP00000219439	ENSG00000103160	HSDL1	ENSDARP00000061172	ENSDARG00000041736	hsdl1
ENSP00000219454	ENSG00000103175	WFDC1	ENSDARP00000075234	ENSDARG00000058003	wfdc1
ENSP00000219476	ENSG00000103197	TSC2	ENSDARP00000131915	ENSDARG00000103125	tsc2
ENSP00000219548	ENSG00000103266	STUB1	ENSDARP00000118937	ENSDARG00000045228	stub1
ENSP00000219551	ENSG00000103269	RHBDL1	ENSDARP00000106338	ENSDARG00000087040	rhbdl1
ENSP00000219611	ENSG00000103326	CAPN15	ENSDARP00000151290	ENSDARG00000060600	capn15
ENSP00000219746	ENSG00000103460	TOX3	ENSDARP00000101166	ENSDARG00000073957	tox3
ENSP00000219782	ENSG00000103495	MAZ	ENSDARP00000127012	ENSDARG00000063555	
ENSP00000219837	ENSG00000103550	KNOP1	ENSDARP00000112564	ENSDARG00000077721	knop1
ENSP00000219905	ENSG00000174197	MGA	ENSDARP00000145285	ENSDARG00000078784	mgaa
ENSP00000219919	ENSG00000103569	AQP9	ENSDARP00000069995	ENSDARG00000053480	aqp9b
ENSP00000220003	ENSG00000103653	CSK	ENSDARP00000088849	ENSDARG00000067996	csk
ENSP00000220058	ENSG00000103707	MTFMT	ENSDARP00000053813	ENSDARG00000005448	mtfmt
ENSP00000220062	ENSG00000103710	RASL12	ENSDARP00000103153	ENSDARG00000002701	rasl12
ENSP00000220429	ENSG00000104064	GABPB1	ENSDARP00000138165	ENSDARG00000023659	gabpb1
ENSP00000220478	ENSG00000104112	SCG3	ENSDARP00000105698	ENSDARG00000086288	scg3
